1609000140,0.1209,0.1209,0.1209,0.1209,1.49354372,1
1609001220,0.1199,0.1199,0.1199,0.1199,4.99999991,3
1609006980,0.1207,0.1207,0.1207,0.1207,1,1
1609013880,0.1176,0.1176,0.1176,0.1176,0.17827244,1
1609014060,0.118,0.118,0.118,0.118,1,1
1609020600,0.1176,0.1176,0.1176,0.1176,1.77788663,1
1609021080,0.1183,0.1183,0.1183,0.1183,1.06512009,1
1609029540,0.1179,0.1179,0.1179,0.1179,4.44362019,1
1609030200,0.1177,0.1177,0.1177,0.1177,0.45999999,3
1609033560,0.1174,0.1174,0.1174,0.1174,1,2
1609033980,0.1174,0.1174,0.1174,0.1174,0.10626421,1
1609035000,0.1177,0.1177,0.1177,0.1177,0.25,2
1609035240,0.1179,0.1179,0.1179,0.1179,0.44,1
1609038360,0.1189,0.1189,0.1189,0.1189,0.25,1
1609067880,0.1158,0.1158,0.1158,0.1158,0.25214851,1
1609069920,0.1164,0.1165,0.1164,0.1165,4.50185257,2
1609070040,0.1165,0.1165,0.1164,0.1164,1.98519042,2
1609070520,0.1164,0.1164,0.1164,0.1164,97,5
1609071120,0.1167,0.1167,0.1167,0.1167,1.09251543,3
1609071300,0.1172,0.1172,0.1172,0.1172,1,1
1609072680,0.1163,0.1163,0.1163,0.1163,0.2375316,1
1609074660,0.1156,0.1156,0.1156,0.1156,0.8605852,1
1609077780,0.1165,0.1165,0.1165,0.1165,0.15065322,1
1609077900,0.1167,0.1167,0.1167,0.1167,0.26329858,1
1609078260,0.1161,0.1161,0.1161,0.1161,0.17008632,1
1609078860,0.1168,0.1168,0.1168,0.1168,0.10945373,1
1609080240,0.1139,0.1139,0.1139,0.1139,0.1,1
1609081560,0.1128,0.1128,0.1128,0.1128,6.394,1
1609081920,0.1145,0.1196,0.1145,0.1196,16.0807313,4
1609085040,0.1145,0.1145,0.1145,0.1145,0.34008502,1
1609086120,0.1136,0.1136,0.1136,0.1136,1.16268111,1
1609086300,0.1139,0.1139,0.1139,0.1139,0.94798,1
1609086900,0.114,0.114,0.114,0.114,1.01540523,1
1609089180,0.1132,0.1132,0.1132,0.1132,0.5,1
1609089240,0.1134,0.1134,0.1134,0.1134,0.23231883,1
1609089420,0.113,0.113,0.113,0.113,0.1556154,1
1609089900,0.1134,0.1134,0.1134,0.1134,0.44828577,1
1609090920,0.1142,0.1142,0.1142,0.1142,8.5422459,1
1609091940,0.1143,0.1143,0.1143,0.1143,7.4,1
1609094340,0.113,0.113,0.113,0.113,8.60457683,7
1609096920,0.1133,0.1133,0.1133,0.1133,0.12689158,1
1609098540,0.1127,0.1127,0.1127,0.1127,8.64452426,1
1609101840,0.1126,0.1126,0.1126,0.1126,17.7619893,1
1609101900,0.1124,0.1124,0.1124,0.1124,0.22441122,1
1609105440,0.1145,0.1146,0.1145,0.1146,52,4
1609109640,0.1134,0.1134,0.1132,0.1132,51.99999993,9
1609112580,0.1133,0.1133,0.1133,0.1133,0.19632875,1
1609113660,0.1116,0.1116,0.1116,0.1116,0.1,1
1609113780,0.1116,0.1116,0.1116,0.1116,0.1002,2
1609119420,0.1151,0.1151,0.1151,0.1151,5.1,1
1609132980,0.1124,0.1124,0.1124,0.1124,2.87878678,1
1609135020,0.1117,0.1117,0.1117,0.1117,2.40584489,3
